title,min_val,max_val,currency,link,site,employer,city
Водитель категории С на грузовой автомобиль,90000,,руб.,https://hh.ru/vacancy/49349900?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Консул Медиа,Москва
Водитель на автомобиль компании,100000,120000,руб.,https://hh.ru/vacancy/49904471?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Автофлот-Столица,Москва
Водитель-экспедитор на Газель,100000,120000,руб.,https://hh.ru/vacancy/49823304?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ИП Лифарь Станислав Владимирович,Москва
Водитель-экспедитор с личным автомобилем,130000,230000,руб.,https://hh.ru/vacancy/48095729?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,АО НПК «Катрен» филиал в г. Химки,Москва
Водитель со своим грузовым автомобилем (от 500 кг),120000,300000,руб.,https://hh.ru/vacancy/49182975?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ТК СФEРA,"Москва, Аннино"
Водитель-курьер с личным грузовым автомобилем,160000,220000,руб.,https://hh.ru/vacancy/49308597?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО БТ-СТОК,Москва
Водитель-экспедитор,100000,,руб.,https://hh.ru/vacancy/49320521?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ИП Панов Иван Андреевич,"Москва, Котельники"
Водитель-экспедитор с категорией С,95000,110000,руб.,https://hh.ru/vacancy/49891102?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ТГЛ-Транс,Москва
"Водитель-экспедитор категории ""В""",50000,100000,руб.,https://hh.ru/vacancy/49853708?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО НХК НЕРС+,"Москва, Бульвар Дмитрия Донского"
Водитель категории В ( METRO Cash & Carry),85000,130000,руб.,https://hh.ru/vacancy/49001649?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Группа компаний VEZU,Москва
Водитель-курьер,100000,140000,руб.,https://hh.ru/vacancy/49586203?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ROOTS flowers,Москва
Водитель категории С,114000,,руб.,https://hh.ru/vacancy/48658561?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Курьер Сервис Экспресс,Москва
Водитель-экспедитор (Южное Бутово),120000,160000,руб.,https://hh.ru/vacancy/47198866?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Работут,"Москва, Чертановская"
Водитель-экспедитор 14/14,100000,,руб.,https://hh.ru/vacancy/45897249?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Перекресток Впрок,Москва
Водитель-экспедитор,120000,250000,руб.,https://hh.ru/vacancy/49714075?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ИП Абарбанель Марина Николаевна,Москва
Водитель с личным автомобилем,100000,,руб.,https://hh.ru/vacancy/49932280?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,i'way,Москва
Водитель LUX Класса,100000,180000,руб.,https://hh.ru/vacancy/48418295?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Приорити,"Москва, Красносельская"
"Водитель категории ""С"" и ""СЕ""",90000,150000,руб.,https://hh.ru/vacancy/49117199?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО ЮРФИДЕС,Москва
Водитель-экспедитор категории B,90000,100000,руб.,https://hh.ru/vacancy/49822380?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Стэлмас-Д,"Москва, Достоевская и еще 1 "
Водитель - экспедитор,79000,90000,руб.,https://hh.ru/vacancy/37390629?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,"КуулКлевер (МясновЪ, Отдохни)","Москва, Царицыно"
Водитель выходного дня,80000,,руб.,https://hh.ru/vacancy/49427434?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Волга 24,Москва
Водитель-экспедитор категории В,75000,105000,руб.,https://hh.ru/vacancy/49273304?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ТК СФEРA,"Москва, Аннино"
Водитель-экспедитор грузового автотранспорта Мосрентген,120000,160000,руб.,https://hh.ru/vacancy/49920077?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,ООО Ювента,Москва
Водитель-экспедитор доставки IKEA,80000,110000,руб.,https://hh.ru/vacancy/48990939?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Группа компаний VEZU,Москва
Водитель-экспедитор,80000,140000,руб.,https://hh.ru/vacancy/49331054?query=%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C,hh.ru,Формат,Москва
